Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_x__, BLOSC_, 0, 0, 0, inf, 196.594, 1175.34, 1.82699
BLOSC_y__, BLOSC_, 0, 0, 0, inf, 115.444, 989.539, 1.79825
BLOSC_z__, BLOSC_, 0, 0, 0, inf, 113.13, 856.136, 1.74004
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 71.0018, 659.049, 1.14865
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 84.9029, 1224.53, 1.15104
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 75.5597, 708.266, 1.15197
SZ_x__abs0.003, sz_velNoComp, 0.003, 0.003, 2.9789e-06, 103.424, 67.5902, 98.6975, 5.25841
SZ_y__abs0.003, sz_velNoComp, 0.00299999, 0.00299999, 2.99732e-06, 103.397, 77.8448, 104.99, 5.00452
SZ_z__abs0.003, sz_velNoComp, 0.00299999, 0.00299999, 2.98746e-06, 103.412, 75.7173, 94.9897, 4.7142
None_vx__None, sz_velNoComp, 0, 0, 0, inf, 5.75162e+06, 6.87424e+06, 1
None_vy__None, sz_velNoComp, 0, 0, 0, inf, 4.39124e+06, 4.59947e+06, 1
None_vz__None, sz_velNoComp, 0, 0, 0, inf, 5.83209e+06, 6.37971e+06, 1
None_x__None, sz_PosNoComp_vel_.1, 0, 0, 0, inf, 4.17973e+06, 6.53092e+06, 1
None_y__None, sz_PosNoComp_vel_.1, 0, 0, 0, inf, 4.34284e+06, 4.5427e+06, 1
None_z__None, sz_PosNoComp_vel_.1, 0, 0, 0, inf, 4.8389e+06, 8.90533e+06, 1
SZ_vx__pw_rel0.1, sz_PosNoComp_vel_.1, 431.828, 0.0997309, 381.102, 47.9004, 63.4914, 171.742, 7.49258
SZ_vy__pw_rel0.1, sz_PosNoComp_vel_.1, 454.827, 0.0997309, 419.712, 47.7285, 56.8728, 188.206, 7.58879
SZ_vz__pw_rel0.1, sz_PosNoComp_vel_.1, 461.926, 0.0997309, 454.082, 46.7879, 70.0893, 224.758, 7.63355
None_x__None, sz_PosNoComp_vel_.01, 0, 0, 0, inf, 1.08447e+06, 6.39004e+06, 1
None_y__None, sz_PosNoComp_vel_.01, 0, 0, 0, inf, 4.75083e+06, 8.89042e+06, 1
None_z__None, sz_PosNoComp_vel_.01, 0, 0, 0, inf, 4.17e+06, 4.27238e+06, 1
SZ_vx__pw_rel0.01, sz_PosNoComp_vel_.01, 43.7964, 0.00999995, 4.04147, 67.6454, 64.1597, 188.069, 4.24132
SZ_vy__pw_rel0.01, sz_PosNoComp_vel_.01, 44.8452, 0.00999996, 4.45196, 67.4725, 65.7204, 166.252, 4.27452
SZ_vz__pw_rel0.01, sz_PosNoComp_vel_.01, 43.6055, 0.00999996, 4.81665, 66.5317, 66.7372, 205.058, 4.28884
None_x__None, sz_PosNoComp_vel_.001, 0, 0, 0, inf, 3.89482e+06, 6.11178e+06, 1
None_y__None, sz_PosNoComp_vel_.001, 0, 0, 0, inf, 3.39947e+06, 4.79784e+06, 1
None_z__None, sz_PosNoComp_vel_.001, 0, 0, 0, inf, 3.0177e+06, 5.20314e+06, 1
SZ_vx__pw_rel0.001, sz_PosNoComp_vel_.001, 4.5542, 0.000999971, 0.0407343, 87.6112, 58.5506, 170.542, 2.93678
SZ_vy__pw_rel0.001, sz_PosNoComp_vel_.001, 4.52832, 0.000999961, 0.0448706, 87.4384, 61.3909, 169.07, 2.95296
SZ_vz__pw_rel0.001, sz_PosNoComp_vel_.001, 4.70996, 0.000999981, 0.0485549, 86.4969, 60.2524, 165.578, 2.95971
SZ_x__abs0.003, sz_vel_.1, 0.003, 0.003, 2.9789e-06, 103.424, 68.4653, 107.513, 5.25839
SZ_y__abs0.003, sz_vel_.1, 0.00299999, 0.00299999, 2.99732e-06, 103.397, 88.1878, 97.546, 5.00452
SZ_z__abs0.003, sz_vel_.1, 0.00299999, 0.00299999, 2.98746e-06, 103.412, 86.1201, 105.872, 4.7142
SZ_vx__pw_rel0.1, sz_vel_.1, 431.828, 0.0997309, 381.102, 47.9004, 67.5219, 228.011, 7.49258
SZ_vy__pw_rel0.1, sz_vel_.1, 454.827, 0.0997309, 419.712, 47.7285, 64.9269, 179.702, 7.58879
SZ_vz__pw_rel0.1, sz_vel_.1, 461.926, 0.0997309, 454.082, 46.7879, 65.5444, 228.4, 7.63355
SZ_x__abs0.003, sz_vel_.01, 0.003, 0.003, 2.9789e-06, 103.424, 76.496, 109.044, 5.25839
SZ_y__abs0.003, sz_vel_.01, 0.00299999, 0.00299999, 2.99732e-06, 103.397, 89.8141, 119.88, 5.00452
SZ_z__abs0.003, sz_vel_.01, 0.00299999, 0.00299999, 2.98746e-06, 103.412, 83.7918, 90.1755, 4.7142
SZ_vx__pw_rel0.01, sz_vel_.01, 43.7964, 0.00999995, 4.04147, 67.6454, 74.7712, 211.835, 4.24133
SZ_vy__pw_rel0.01, sz_vel_.01, 44.8452, 0.00999996, 4.45196, 67.4725, 69.528, 201.938, 4.27452
SZ_vz__pw_rel0.01, sz_vel_.01, 43.6055, 0.00999996, 4.81665, 66.5317, 66.6306, 172.962, 4.28884
SZ_x__abs0.003, sz_vel_.001, 0.003, 0.003, 2.9789e-06, 103.424, 69.1389, 111.729, 5.2584
SZ_y__abs0.003, sz_vel_.001, 0.00299999, 0.00299999, 2.99732e-06, 103.397, 88.3581, 103.272, 5.00452
SZ_z__abs0.003, sz_vel_.001, 0.00299999, 0.00299999, 2.98746e-06, 103.412, 82.2716, 107.93, 4.7142
SZ_vx__pw_rel0.001, sz_vel_.001, 4.5542, 0.000999971, 0.0407343, 87.6112, 58.467, 167.879, 2.93678
SZ_vy__pw_rel0.001, sz_vel_.001, 4.52832, 0.000999961, 0.0448706, 87.4384, 61.0457, 166.914, 2.95296
SZ_vz__pw_rel0.001, sz_vel_.001, 4.70996, 0.000999981, 0.0485549, 86.4969, 62.9886, 164.141, 2.9597